step,res_total,res_max,dt
109,1.14458696e+01,2.43282516e-01,1.63517163e-08
110,1.11275216e+01,2.46791374e-01,1.57435449e-08
111,1.08074172e+01,2.49993315e-01,1.51330643e-08
112,1.04679842e+01,2.52709242e-01,1.45166552e-08
113,1.01058674e+01,2.54701631e-01,1.38900058e-08
114,9.72004632e+00,2.55684792e-01,1.32478677e-08
115,9.31765669e+00,2.55350484e-01,1.25836982e-08
116,8.92447008e+00,2.53259735e-01,1.18891406e-08
117,8.48511424e+00,2.48910667e-01,1.11532379e-08
118,8.01268820e+00,2.41674339e-01,1.03611771e-08
119,7.47415284e+00,2.30773744e-01,9.49218503e-09
120,6.85133380e+00,2.15666692e-01,8.53756488e-09
121,6.20249221e+00,2.32036703e-01,7.58991291e-09
122,5.53850768e+00,2.55516043e-01,6.65991118e-09
123,4.88826388e+00,2.69798896e-01,5.75290158e-09
124,4.23630972e+00,2.73791284e-01,4.87645182e-09
125,3.59374857e+00,2.70626288e-01,4.04126548e-09
126,2.97076997e+00,2.60181002e-01,3.25734338e-09
127,2.38034452e+00,2.43340464e-01,2.53625962e-09
128,1.83815842e+00,2.22732222e-01,1.88968406e-09
129,1.35261875e+00,1.98119885e-01,1.32566107e-09
130,9.35317318e-01,1.71868590e-01,8.52293055e-10
131,1.35367194e+00,6.66732149e-01,4.74800758e-10
132,6.82420398e-01,3.13308796e-01,2.80235226e-10
133,2.69879679e-01,1.22883940e-01,1.12573112e-10
134,5.65871815e-03,3.45593839e-03,7.64895268e-13
135,5.64911093e-03,3.44916559e-03,7.65205073e-13
136,5.63952225e-03,3.44240565e-03,7.65514647e-13
137,5.62995207e-03,3.43565856e-03,7.65823989e-13
138,5.62040036e-03,3.42892428e-03,7.66133099e-13
139,5.61086708e-03,3.42220280e-03,7.66441977e-13
140,5.60135219e-03,3.41549409e-03,7.66750622e-13
141,5.59185566e-03,3.40879813e-03,7.67059034e-13
142,5.58237745e-03,3.40211488e-03,7.67367213e-13
143,5.57291753e-03,3.39544433e-03,7.67675158e-13
144,5.56347586e-03,3.38878646e-03,7.67982869e-13
145,5.55405241e-03,3.38214123e-03,7.68290346e-13
146,5.54464714e-03,3.37550863e-03,7.68597589e-13
147,5.53526002e-03,3.36888863e-03,7.68904597e-13
148,5.52589102e-03,3.36228121e-03,7.69211370e-13
149,5.51654009e-03,3.35568634e-03,7.69517908e-13
150,5.50720720e-03,3.34910400e-03,7.69824210e-13
151,5.49789232e-03,3.34253417e-03,7.70130276e-13
152,5.48859541e-03,3.33597681e-03,7.70436107e-13
153,5.47931644e-03,3.32943192e-03,7.70741700e-13
154,5.47005537e-03,3.32289946e-03,7.71047058e-13
155,5.46081218e-03,3.31637941e-03,7.71352178e-13
156,5.45158682e-03,3.30987175e-03,7.71657061e-13
157,5.44237925e-03,3.30337645e-03,7.71961706e-13
158,5.43318946e-03,3.29689349e-03,7.72266114e-13
159,5.42401739e-03,3.29042285e-03,7.72570283e-13
160,5.41486303e-03,3.28396451e-03,7.72874214e-13
161,5.40572632e-03,3.27751843e-03,7.73177907e-13
162,5.39660725e-03,3.27108460e-03,7.73481361e-13
163,5.38750577e-03,3.26466300e-03,7.73784575e-13
164,5.37842185e-03,3.25825360e-03,7.74087550e-13
165,5.36935546e-03,3.25185637e-03,7.74390286e-13
166,5.36030656e-03,3.24547130e-03,7.74692781e-13
167,5.35127512e-03,3.23909836e-03,7.74995036e-13
168,5.34226111e-03,3.23273753e-03,7.75297051e-13
169,5.33326449e-03,3.22638878e-03,7.75598825e-13
170,5.32428523e-03,3.22005210e-03,7.75900358e-13
171,5.31532330e-03,3.21372746e-03,7.76201650e-13
172,5.30637865e-03,3.20741483e-03,7.76502700e-13
173,5.29745127e-03,3.20111420e-03,7.76803508e-13
174,5.28854111e-03,3.19482554e-03,7.77104074e-13
175,5.27964814e-03,3.18854882e-03,7.77404398e-13
176,5.27077233e-03,3.18228404e-03,7.77704479e-13
177,5.26191365e-03,3.17603115e-03,7.78004318e-13
178,5.25307206e-03,3.16979015e-03,7.78303913e-13
179,5.24424753e-03,3.16356101e-03,7.78603265e-13
180,5.23544002e-03,3.15734370e-03,7.78902373e-13
181,5.22664951e-03,3.15113820e-03,7.79201238e-13
182,5.21787596e-03,3.14494450e-03,7.79499858e-13
183,5.20911934e-03,3.13876256e-03,7.79798234e-13
184,5.20037962e-03,3.13259237e-03,7.80096365e-13
185,5.19165676e-03,3.12643391e-03,7.80394252e-13
186,5.18295073e-03,3.12028714e-03,7.80691893e-13
187,5.17426149e-03,3.11415206e-03,7.80989289e-13
188,5.16558902e-03,3.10802863e-03,7.81286440e-13
189,5.15693329e-03,3.10191684e-03,7.81583344e-13
190,5.14829426e-03,3.09581666e-03,7.81880003e-13
191,5.13967189e-03,3.08972807e-03,7.82176415e-13
192,5.13106616e-03,3.08365105e-03,7.82472580e-13
193,5.12247704e-03,3.07758558e-03,7.82768499e-13
194,5.11390449e-03,3.07153164e-03,7.83064170e-13
195,5.10534848e-03,3.06548919e-03,7.83359595e-13
196,5.09680897e-03,3.05945823e-03,7.83654772e-13
197,5.08828595e-03,3.05343873e-03,7.83949701e-13
198,5.07977936e-03,3.04743067e-03,7.84244382e-13
199,5.07128920e-03,3.04143402e-03,7.84538814e-13
200,5.06281541e-03,3.03544877e-03,7.84832999e-13
201,5.05435797e-03,3.02947489e-03,7.85126934e-13
202,5.04591685e-03,3.02351237e-03,7.85420621e-13
203,5.03749202e-03,3.01756117e-03,7.85714058e-13
204,5.02908344e-03,3.01162128e-03,7.86007246e-13
205,5.02069108e-03,3.00569268e-03,7.86300184e-13
206,5.01231492e-03,2.99977535e-03,7.86592873e-13
207,5.00395492e-03,2.99386926e-03,7.86885311e-13
208,4.99561105e-03,2.98797439e-03,7.87177499e-13
209,4.98728328e-03,2.98209072e-03,7.87469437e-13
210,4.97897157e-03,2.97621824e-03,7.87761124e-13
211,4.97067590e-03,2.97035691e-03,7.88052560e-13
212,4.96239624e-03,2.96450672e-03,7.88343744e-13
213,4.95413255e-03,2.95866765e-03,7.88634677e-13
214,4.94588481e-03,2.95283968e-03,7.88925359e-13
215,4.93765298e-03,2.94702278e-03,7.89215788e-13
216,4.92943703e-03,2.94121693e-03,7.89505966e-13
217,4.92123693e-03,2.93542212e-03,7.89795891e-13
218,4.91305266e-03,2.92963832e-03,7.90085564e-13
219,4.90488417e-03,2.92386551e-03,7.90374984e-13
220,4.89673145e-03,2.91810367e-03,7.90664151e-13
221,4.88864877e-03,2.91235278e-03,7.90953065e-13
222,4.88089275e-03,2.90661282e-03,7.91241725e-13
223,4.87315167e-03,2.90088376e-03,7.91530132e-13
224,4.86542379e-03,2.89516247e-03,7.91818285e-13
225,4.85759912e-03,2.88924581e-03,7.92106184e-13
226,4.84969319e-03,2.88316202e-03,7.92393808e-13
227,4.84180320e-03,2.87709043e-03,7.92681139e-13
228,4.83392912e-03,2.87103103e-03,7.92968176e-13
229,4.82607090e-03,2.86498379e-03,7.93254920e-13
230,4.81822852e-03,2.85894869e-03,7.93541370e-13
231,4.81040194e-03,2.85292570e-03,7.93827527e-13
232,4.80259114e-03,2.84691480e-03,7.94113389e-13
233,4.79479609e-03,2.84091597e-03,7.94398957e-13
234,4.78701674e-03,2.83492918e-03,7.94684231e-13
235,4.77925306e-03,2.82895441e-03,7.94969210e-13
236,4.77150504e-03,2.82299163e-03,7.95253895e-13
237,4.76377262e-03,2.81704082e-03,7.95538284e-13
238,4.75605579e-03,2.81110195e-03,7.95822379e-13
239,4.74835451e-03,2.80517501e-03,7.96106178e-13
240,4.74066875e-03,2.79925996e-03,7.96389681e-13
241,4.73299847e-03,2.79335679e-03,7.96672889e-13
242,4.72534365e-03,2.78746546e-03,7.96955801e-13
243,4.71770426e-03,2.78158597e-03,7.97238417e-13
244,4.71008026e-03,2.77571828e-03,7.97520737e-13
245,4.70247161e-03,2.76986236e-03,7.97802760e-13
246,4.69487830e-03,2.76401821e-03,7.98084487e-13
247,4.68730029e-03,2.75818578e-03,7.98365918e-13
248,4.67973754e-03,2.75236506e-03,7.98647051e-13
249,4.67219003e-03,2.74655603e-03,7.98927888e-13
250,4.66465773e-03,2.74075866e-03,7.99208427e-13
251,4.65714060e-03,2.73497293e-03,7.99488669e-13
252,4.64963861e-03,2.72919882e-03,7.99768613e-13
253,4.64215174e-03,2.72343630e-03,8.00048260e-13
254,4.63467995e-03,2.71768534e-03,8.00327608e-13
255,4.62722321e-03,2.71194594e-03,8.00606659e-13
256,4.61978149e-03,2.70621805e-03,8.00885412e-13
257,4.61235477e-03,2.70050167e-03,8.01163866e-13
258,4.60494300e-03,2.69479676e-03,8.01442022e-13
259,4.59754616e-03,2.68910331e-03,8.01719880e-13
260,4.59016422e-03,2.68342129e-03,8.01997438e-13
261,4.58279715e-03,2.67775068e-03,8.02274698e-13
262,4.57544491e-03,2.67209145e-03,8.02551658e-13
263,4.56810749e-03,2.66644359e-03,8.02828320e-13
264,4.56078484e-03,2.66080706e-03,8.03104682e-13
265,4.55347694e-03,2.65518185e-03,8.03380744e-13
266,4.54618376e-03,2.64956794e-03,8.03656507e-13
267,4.53890526e-03,2.64396530e-03,8.03931970e-13
268,4.53164143e-03,2.63837391e-03,8.04207133e-13
269,4.52439222e-03,2.63279375e-03,8.04481996e-13
270,4.51715761e-03,2.62722479e-03,8.04756559e-13
271,4.50993757e-03,2.62166702e-03,8.05030822e-13
272,4.50273206e-03,2.61612041e-03,8.05304784e-13
273,4.49554107e-03,2.61058493e-03,8.05578445e-13
274,4.48836456e-03,2.60506057e-03,8.05851806e-13
275,4.48120249e-03,2.59954730e-03,8.06124866e-13
276,4.47405485e-03,2.59404510e-03,8.06397625e-13
277,4.46692160e-03,2.58855396e-03,8.06670082e-13
278,4.45980271e-03,2.58307384e-03,8.06942239e-13
279,4.45269815e-03,2.57760472e-03,8.07214094e-13
280,4.44560790e-03,2.57214659e-03,8.07485647e-13
281,4.43853194e-03,2.56669942e-03,8.07756899e-13
282,4.43147025e-03,2.56126319e-03,8.08027849e-13
283,4.42442277e-03,2.55583787e-03,8.08298497e-13
284,4.41738948e-03,2.55042345e-03,8.08568843e-13
285,4.41037034e-03,2.54501991e-03,8.08838887e-13
286,4.40336534e-03,2.53962721e-03,8.09108629e-13
287,4.39637444e-03,2.53424535e-03,8.09378069e-13
288,4.38939761e-03,2.52887430e-03,8.09647205e-13
289,4.38243482e-03,2.52351403e-03,8.09916040e-13
290,4.37548605e-03,2.51816453e-03,8.10184571e-13
291,4.36855127e-03,2.51282577e-03,8.10452800e-13
292,4.36163044e-03,2.50749773e-03,8.10720726e-13
293,4.35472354e-03,2.50218040e-03,8.10988349e-13
294,4.34783054e-03,2.49687374e-03,8.11255669e-13
295,4.34095142e-03,2.49157775e-03,8.11522685e-13
296,4.33408614e-03,2.48629239e-03,8.11789398e-13
297,4.32723468e-03,2.48101764e-03,8.12055808e-13
298,4.32039700e-03,2.47575349e-03,8.12321914e-13
299,4.31357309e-03,2.47049992e-03,8.12587716e-13
300,4.30676290e-03,2.46525689e-03,8.12853215e-13
301,4.29996642e-03,2.46002440e-03,8.13118409e-13
